epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,64.3549,0.86767,0.47657,0.99443,0.98489,0.98431,0.99393,0.78127,0.82819,0.46773,0.99728,0.0009506,0.0009506,0.0009506
55,65.6964,0.92595,0.48771,0.98464,0.98789,0.98577,0.9943,0.78439,0.82703,0.45382,0.98896,0.0009308,0.0009308,0.0009308
56,66.8513,0.92685,0.48932,0.99454,0.98579,0.9864,0.99446,0.76707,0.87328,0.46525,1.00415,0.000911,0.000911,0.000911
57,67.9385,0.85721,0.48008,0.98575,0.98579,0.9864,0.99446,0.76707,0.87328,0.46525,1.00415,0.0008912,0.0008912,0.0008912
58,69.0611,0.88632,0.48487,0.97867,0.97776,0.99621,0.99424,0.78477,0.85543,0.44988,0.9937,0.0008714,0.0008714,0.0008714
59,70.2187,0.88154,0.48557,1.01547,0.9843,0.99245,0.99421,0.80155,0.80036,0.42893,0.96895,0.0008516,0.0008516,0.0008516
60,71.3685,0.87295,0.48447,0.98997,0.98196,0.98681,0.99414,0.79271,0.81725,0.4261,0.9813,0.0008318,0.0008318,0.0008318
61,72.4419,0.90157,0.47628,0.99966,0.98196,0.98681,0.99414,0.79271,0.81725,0.4261,0.9813,0.000812,0.000812,0.000812
62,73.5503,0.85091,0.4731,0.97573,0.97755,0.98672,0.99365,0.80754,0.78095,0.43889,0.96254,0.0007922,0.0007922,0.0007922
63,74.691,0.79925,0.48104,0.96207,0.98343,0.98636,0.99408,0.80752,0.77227,0.42472,0.95893,0.0007724,0.0007724,0.0007724
64,75.848,0.8458,0.47556,0.98194,0.98653,0.99604,0.99432,0.80692,0.74971,0.41587,0.96001,0.0007526,0.0007526,0.0007526
65,76.9245,0.82545,0.45339,0.96843,0.98653,0.99604,0.99432,0.80692,0.74971,0.41587,0.96001,0.0007328,0.0007328,0.0007328
66,78.0419,0.8115,0.44176,0.93882,0.98941,0.99547,0.99436,0.81101,0.75788,0.40846,0.96649,0.000713,0.000713,0.000713
67,79.3463,0.81567,0.44757,0.97371,0.99152,0.99396,0.99435,0.81379,0.75792,0.40527,0.95921,0.0006932,0.0006932,0.0006932
68,80.4968,0.82317,0.4572,0.97721,0.98921,0.99547,0.99433,0.82019,0.72358,0.39967,0.94036,0.0006734,0.0006734,0.0006734
69,81.6072,0.84393,0.46592,0.96213,0.98921,0.99547,0.99433,0.82019,0.72358,0.39967,0.94036,0.0006536,0.0006536,0.0006536
70,82.7558,0.82824,0.45505,0.9807,0.99392,0.99094,0.99443,0.82609,0.71494,0.39401,0.9354,0.0006338,0.0006338,0.0006338
71,83.9005,0.79268,0.43706,0.96706,0.98803,0.99744,0.99441,0.8201,0.72764,0.40318,0.94372,0.000614,0.000614,0.000614
72,85.0223,0.788,0.44094,0.962,0.98678,0.99849,0.99443,0.82563,0.70433,0.40222,0.93296,0.0005942,0.0005942,0.0005942
73,86.0919,0.80807,0.43505,0.9514,0.98678,0.99849,0.99443,0.82563,0.70433,0.40222,0.93296,0.0005744,0.0005744,0.0005744
74,87.2223,0.76815,0.42425,0.94622,0.98896,0.99849,0.99452,0.83429,0.66842,0.38089,0.92034,0.0005546,0.0005546,0.0005546
75,88.3744,0.81728,0.44665,0.95669,0.98879,0.99849,0.99445,0.83387,0.67599,0.37768,0.92346,0.0005348,0.0005348,0.0005348
76,89.5004,0.79215,0.43373,0.94193,0.98885,0.99698,0.99454,0.8442,0.65515,0.37271,0.91206,0.000515,0.000515,0.000515
77,90.6253,0.79962,0.44442,0.97371,0.98885,0.99698,0.99454,0.8442,0.65515,0.37271,0.91206,0.0004952,0.0004952,0.0004952
78,91.9511,0.77947,0.43788,0.94971,0.99248,0.9963,0.99469,0.8416,0.65616,0.37186,0.90782,0.0004754,0.0004754,0.0004754
79,93.0607,0.75041,0.42105,0.93936,0.99098,0.99553,0.99473,0.84545,0.64234,0.36428,0.90404,0.0004556,0.0004556,0.0004556
80,94.2167,0.72705,0.4116,0.92898,0.99696,0.99213,0.99476,0.83299,0.69947,0.38507,0.92604,0.0004358,0.0004358,0.0004358
81,95.3033,0.77586,0.41876,0.94288,0.99696,0.99213,0.99476,0.83299,0.69947,0.38507,0.92604,0.000416,0.000416,0.000416
82,96.4285,0.78757,0.4284,0.9379,0.99848,0.99231,0.99474,0.83765,0.69497,0.38608,0.92232,0.0003962,0.0003962,0.0003962
83,97.555,0.76311,0.4193,0.92777,0.99685,0.99396,0.99479,0.85464,0.62572,0.36382,0.89601,0.0003764,0.0003764,0.0003764
84,98.7194,0.76751,0.42724,0.93955,0.99169,0.99849,0.99489,0.85025,0.63207,0.3577,0.89261,0.0003566,0.0003566,0.0003566
85,99.8212,0.77586,0.42169,0.92196,0.99169,0.99849,0.99489,0.85025,0.63207,0.3577,0.89261,0.0003368,0.0003368,0.0003368
86,100.945,0.71359,0.40021,0.92455,0.99249,0.99817,0.99489,0.85278,0.62872,0.36035,0.8897,0.000317,0.000317,0.000317
87,102.065,0.74089,0.42261,0.92943,0.99398,0.99786,0.99488,0.85994,0.61143,0.35415,0.88435,0.0002972,0.0002972,0.0002972
88,103.222,0.731,0.42181,0.94855,0.99398,0.99793,0.99489,0.86097,0.6054,0.35014,0.88365,0.0002774,0.0002774,0.0002774
89,104.492,0.71618,0.40253,0.92768,0.99398,0.99793,0.99489,0.86097,0.6054,0.35014,0.88365,0.0002576,0.0002576,0.0002576
90,105.636,0.71027,0.40068,0.94053,0.99547,0.99644,0.99494,0.86676,0.5891,0.34594,0.87617,0.0002378,0.0002378,0.0002378
91,109.097,0.7086,0.40211,0.91082,0.99315,0.99698,0.99494,0.86708,0.5916,0.34588,0.87247,0.000218,0.000218,0.000218
92,110.298,0.66125,0.39077,0.91514,0.99396,0.99458,0.99494,0.85373,0.63158,0.35416,0.88009,0.0001982,0.0001982,0.0001982
93,111.396,0.67993,0.38462,0.90267,0.99396,0.99458,0.99494,0.85373,0.63158,0.35416,0.88009,0.0001784,0.0001784,0.0001784
94,112.512,0.71415,0.39036,0.93733,0.99397,0.99676,0.99492,0.84903,0.63934,0.35159,0.882,0.0001586,0.0001586,0.0001586
95,113.634,0.68539,0.3689,0.90577,0.99362,0.99547,0.99491,0.85894,0.60068,0.34697,0.8746,0.0001388,0.0001388,0.0001388
96,114.755,0.67038,0.37304,0.89591,0.99397,0.99545,0.99489,0.86851,0.56384,0.3423,0.86909,0.000119,0.000119,0.000119
97,115.859,0.66317,0.37553,0.8859,0.99397,0.99545,0.99489,0.86851,0.56384,0.3423,0.86909,9.92e-05,9.92e-05,9.92e-05
98,117.001,0.69213,0.38964,0.90336,0.99248,0.9966,0.99489,0.87294,0.56021,0.34074,0.86958,7.94e-05,7.94e-05,7.94e-05
99,118.148,0.68194,0.37277,0.91545,0.99547,0.99513,0.99489,0.87101,0.56451,0.33991,0.87185,5.96e-05,5.96e-05,5.96e-05
100,119.282,0.64098,0.37897,0.88574,0.99397,0.99681,0.99488,0.86923,0.56805,0.3372,0.87275,3.98e-05,3.98e-05,3.98e-05
