epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.93795,1.68542,2.65997,1.53864,0.21966,0.23263,0.14477,0.05309,1.87977,2.26255,1.75898,4e-05,4e-05,4e-05
2,2.94032,1.64543,2.65209,1.49597,0.55222,0.48435,0.53629,0.23999,1.66604,1.91282,1.64242,9.901e-05,9.901e-05,9.901e-05
3,4.19578,1.68909,1.77765,1.60427,0.45396,0.93505,0.86225,0.45956,1.36981,6.94364,1.45035,0.000156832,0.000156832,0.000156832
4,5.46053,1.4324,1.25031,1.29713,0.60704,0.96609,0.91165,0.51317,1.29326,5.23776,1.36948,0.000213466,0.000213466,0.000213466
5,6.73076,1.35402,0.94458,1.23651,0.69198,0.97583,0.94955,0.55744,1.28432,4.14192,1.36491,0.000268912,0.000268912,0.000268912
6,8.14948,1.319,0.97495,1.31721,0.89625,0.93958,0.95736,0.59214,1.22999,1.84197,1.32059,0.00032317,0.00032317,0.00032317
7,9.38323,1.3083,0.8697,1.23883,0.92277,0.90785,0.9676,0.62123,1.18177,1.55822,1.27624,0.00037624,0.00037624,0.00037624
8,10.5791,1.23777,0.80917,1.20521,0.93681,0.90785,0.96835,0.62497,1.17919,1.20019,1.28267,0.000428122,0.000428122,0.000428122
9,11.826,1.28401,0.82861,1.24524,0.65872,0.89577,0.67997,0.43722,1.1625,1.53151,1.24541,0.000478816,0.000478816,0.000478816
10,13.0007,1.20988,0.73576,1.17155,0.6626,0.91668,0.676,0.44001,1.14839,1.61021,1.22056,0.000528322,0.000528322,0.000528322
11,14.2155,1.22838,0.80033,1.21801,0.42628,0.89275,0.42583,0.2787,1.15272,1.92548,1.20728,0.00057664,0.00057664,0.00057664
12,15.3832,1.21194,0.73179,1.15492,0.42211,0.8716,0.43067,0.28095,1.14788,1.8832,1.20319,0.00062377,0.00062377,0.00062377
13,16.5843,1.19219,0.7168,1.15152,0.29144,0.85498,0.28944,0.19436,1.13622,2.22929,1.19109,0.000669712,0.000669712,0.000669712
14,17.7275,1.28041,0.75556,1.23002,0.25411,0.92447,0.25322,0.16575,1.17928,2.61715,1.23794,0.000714466,0.000714466,0.000714466
15,18.9414,1.2133,0.70242,1.17056,0.47643,0.84441,0.47226,0.3192,1.09231,1.35469,1.1707,0.000758032,0.000758032,0.000758032
16,20.0941,1.15689,0.64154,1.11578,0.64057,0.84441,0.66392,0.44502,1.11233,1.02208,1.20431,0.00080041,0.00080041,0.00080041
17,21.277,1.19801,0.66668,1.17093,0.74883,0.8852,0.78587,0.50718,1.25908,0.935,1.26123,0.0008416,0.0008416,0.0008416
18,22.4258,1.25354,0.70301,1.19627,0.87506,0.90483,0.92812,0.58115,1.24634,0.87573,1.22406,0.000881602,0.000881602,0.000881602
19,23.7809,1.19723,0.69867,1.18679,0.93053,0.9426,0.96643,0.63742,1.10657,0.75543,1.12673,0.000920416,0.000920416,0.000920416
20,24.9601,1.19615,0.66486,1.13576,0.92642,0.95099,0.97792,0.65798,1.08569,0.70757,1.12918,0.000958042,0.000958042,0.000958042
21,26.1478,1.2171,0.62272,1.13869,0.92866,0.92749,0.96691,0.66483,1.08812,0.74215,1.11797,0.00099448,0.00099448,0.00099448
22,27.3339,1.13782,0.63646,1.11977,0.92549,0.95317,0.97658,0.66897,1.09564,0.67881,1.13067,0.00102973,0.00102973,0.00102973
23,28.5248,1.08604,0.5926,1.08247,0.94918,0.95927,0.98619,0.67317,1.06753,0.65029,1.12659,0.00106379,0.00106379,0.00106379
24,29.7129,1.08074,0.58016,1.10527,0.94448,0.92518,0.96721,0.64874,1.06769,0.71961,1.13087,0.00109667,0.00109667,0.00109667
25,30.8632,1.1427,0.62209,1.15059,0.90922,0.93805,0.95449,0.61289,1.18886,0.80324,1.20667,0.00112835,0.00112835,0.00112835
26,32.0074,1.19426,0.60497,1.09096,0.93469,0.95115,0.97665,0.65881,1.11464,0.69201,1.15532,0.00115885,0.00115885,0.00115885
27,33.1556,1.11332,0.62667,1.14027,0.94755,0.9552,0.98169,0.66519,1.10532,0.64603,1.13782,0.00118816,0.00118816,0.00118816
28,34.3092,1.09106,0.59054,1.12545,0.9443,0.97318,0.97962,0.67817,1.04957,0.60644,1.08681,0.00121628,0.00121628,0.00121628
29,35.4407,1.08553,0.57534,1.09297,0.9443,0.97318,0.97962,0.67817,1.04957,0.60644,1.08681,0.00124322,0.00124322,0.00124322
30,36.6194,1.06926,0.56957,1.10108,0.96139,0.97804,0.98798,0.69883,1.04691,0.6011,1.10278,0.00126896,0.00126896,0.00126896
31,37.7864,1.07093,0.56557,1.09771,0.95769,0.96224,0.98707,0.68364,1.05094,0.60481,1.0897,0.00129352,0.00129352,0.00129352
32,39.0918,1.07532,0.57129,1.08096,0.97148,0.96979,0.99078,0.70066,1.043,0.58635,1.09541,0.00131689,0.00131689,0.00131689
33,40.2175,1.04977,0.57405,1.10025,0.97148,0.96979,0.99078,0.70066,1.043,0.58635,1.09541,0.00133907,0.00133907,0.00133907
34,41.3747,1.03766,0.56146,1.05466,0.94521,0.97734,0.98855,0.70121,1.00787,0.5893,1.06351,0.0013466,0.0013466,0.0013466
35,42.529,1.03206,0.5448,1.0416,0.96854,0.96677,0.99078,0.70726,0.98197,0.5701,1.04687,0.0013268,0.0013268,0.0013268
36,43.6917,1.06417,0.56443,1.06425,0.97424,0.97114,0.98883,0.71546,0.99496,0.55994,1.05865,0.001307,0.001307,0.001307
37,44.8068,1.03988,0.53789,1.05762,0.97424,0.97114,0.98883,0.71546,0.99496,0.55994,1.05865,0.0012872,0.0012872,0.0012872
38,45.9647,1.03581,0.55597,1.03795,0.98042,0.9832,0.99302,0.73252,0.97421,0.52525,1.05173,0.0012674,0.0012674,0.0012674
39,47.1243,1.01545,0.55248,1.03406,0.98352,0.97734,0.99222,0.74196,0.94001,0.51189,1.04617,0.0012476,0.0012476,0.0012476
40,48.29,0.98012,0.59123,1.07893,0.97738,0.9792,0.99276,0.75114,0.92808,0.50864,1.03965,0.0012278,0.0012278,0.0012278
41,49.413,1.01881,0.54888,1.02862,0.97738,0.9792,0.99276,0.75114,0.92808,0.50864,1.03965,0.001208,0.001208,0.001208
42,50.5694,0.9978,0.52414,1.02563,0.98342,0.98531,0.99271,0.73469,0.9852,0.52512,1.074,0.0011882,0.0011882,0.0011882
43,51.6828,0.9758,0.52364,1.0319,0.97717,0.98489,0.99241,0.75969,0.90742,0.53087,1.03378,0.0011684,0.0011684,0.0011684
44,53.0162,0.96712,0.51075,1.01059,0.96899,0.99136,0.99227,0.75054,0.92628,0.51533,1.04754,0.0011486,0.0011486,0.0011486
45,54.1091,0.97138,0.53196,1.03503,0.96899,0.99136,0.99227,0.75054,0.92628,0.51533,1.04754,0.0011288,0.0011288,0.0011288
46,55.2361,0.91128,0.49205,0.99627,0.98044,0.98943,0.99369,0.75869,0.88569,0.49467,1.02637,0.001109,0.001109,0.001109
47,56.3577,0.924,0.50492,1.02911,0.98636,0.98292,0.99384,0.74887,0.93869,0.50246,1.06509,0.0010892,0.0010892,0.0010892
48,57.4856,0.96884,0.50662,0.99221,0.98351,0.99102,0.99407,0.76251,0.8887,0.50179,1.03182,0.0010694,0.0010694,0.0010694
49,58.6,0.92674,0.50038,1.00888,0.98351,0.99102,0.99407,0.76251,0.8887,0.50179,1.03182,0.0010496,0.0010496,0.0010496
50,59.7617,0.95989,0.50357,1.01402,0.98497,0.98963,0.9939,0.76907,0.87065,0.49604,1.0135,0.0010298,0.0010298,0.0010298
51,60.9273,0.9047,0.48731,0.99613,0.98059,0.9919,0.99399,0.76049,0.88876,0.50032,1.03265,0.00101,0.00101,0.00101
52,62.0629,0.93263,0.49524,1.01729,0.97465,0.98753,0.99367,0.77197,0.83264,0.47942,0.99708,0.0009902,0.0009902,0.0009902
53,63.1895,0.92777,0.48988,0.98671,0.97465,0.98753,0.99367,0.77197,0.83264,0.47942,0.99708,0.0009704,0.0009704,0.0009704
