epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.25548,1.68542,2.65997,1.53864,0.21966,0.23263,0.14477,0.05309,1.87977,2.26255,1.75898,4e-05,4e-05,4e-05
2,1.89606,1.64543,2.65209,1.49597,0.54284,0.47173,0.52453,0.2334,1.67304,1.87928,1.64778,9.505e-05,9.505e-05,9.505e-05
3,2.67536,1.68685,1.78917,1.60172,0.44989,0.92598,0.84747,0.45265,1.38552,6.84117,1.46288,0.00014416,0.00014416,0.00014416
4,3.45285,1.42794,1.26992,1.29758,0.58524,0.95619,0.90519,0.50783,1.30464,5.13407,1.36946,0.00018733,0.00018733,0.00018733
5,4.20404,1.37081,0.95145,1.23772,0.65089,0.97885,0.93886,0.54862,1.25871,4.38691,1.32881,0.00022456,0.00022456,0.00022456
6,4.99168,1.32226,0.98008,1.3141,0.88626,0.95166,0.95605,0.58724,1.22193,2.13992,1.29029,0.00025585,0.00025585,0.00025585
7,5.89029,1.30504,0.90191,1.23334,0.91564,0.929,0.96838,0.61612,1.18408,1.58382,1.26773,0.0002812,0.0002812,0.0002812
8,6.64821,1.25361,0.80672,1.19841,0.92126,0.92447,0.97231,0.63248,1.16151,1.60911,1.237,0.00030061,0.00030061,0.00030061
9,7.50294,1.29269,0.8659,1.22058,0.92263,0.91541,0.96823,0.62768,1.19844,0.96713,1.24476,0.00031408,0.00031408,0.00031408
10,8.23667,1.2353,0.7655,1.17597,0.93372,0.90937,0.97106,0.64953,1.14689,0.88904,1.20924,0.00032161,0.00032161,0.00032161
11,11.2134,1.23577,0.90971,1.21018,0.73301,0.86858,0.83073,0.53955,1.15486,0.9315,1.18163,0.0003232,0.0003232,0.0003232
12,11.931,1.1664,0.81015,1.17844,0.80055,0.82477,0.85429,0.5545,1.1581,0.90847,1.18376,0.00031885,0.00031885,0.00031885
13,12.7017,1.14019,0.77056,1.18323,0.86558,0.89577,0.92555,0.6196,1.14931,0.79181,1.15374,0.00030856,0.00030856,0.00030856
14,13.4167,1.11931,0.72798,1.13819,0.87893,0.89921,0.9385,0.63233,1.13126,0.78858,1.12071,0.00029233,0.00029233,0.00029233
15,14.1641,1.14841,0.71985,1.08688,0.93294,0.94569,0.97621,0.67026,1.10319,0.69569,1.09044,0.00027016,0.00027016,0.00027016
16,14.9244,1.09492,0.68571,1.11601,0.93937,0.95953,0.97588,0.67115,1.10684,0.69226,1.08115,0.00024205,0.00024205,0.00024205
17,15.7019,1.07317,0.65561,1.10361,0.92924,0.972,0.9813,0.68129,1.07712,0.67921,1.04994,0.000208,0.000208,0.000208
18,16.464,1.09103,0.63067,1.09555,0.9482,0.9678,0.9858,0.69477,1.03956,0.63696,1.03099,0.00016801,0.00016801,0.00016801
19,17.216,1.07093,0.61649,1.0551,0.9548,0.98187,0.98935,0.70321,1.0145,0.59585,1.0251,0.00012208,0.00012208,0.00012208
20,18.0698,1.02371,0.59256,1.0508,0.96417,0.97583,0.99143,0.70791,1.00251,0.57424,1.02644,7.021e-05,7.021e-05,7.021e-05
