epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.48876,0.92782,2.88987,1.27391,0.92683,0.7913,0.93156,0.73982,1.18614,0.80588,1.12592,0,0,0
2,0.745666,1.13145,2.77733,1.44129,0.92934,0.79281,0.93032,0.7386,1.20739,0.82298,1.13405,1.1311e-06,1.1311e-06,1.1311e-06
3,0.996851,1.38734,3.80248,1.6405,0.92719,0.79472,0.93206,0.74014,1.20322,0.82411,1.13556,2.14438e-06,2.14438e-06,2.14438e-06
4,1.28546,0.9066,2.46356,1.21583,0.92483,0.79658,0.93268,0.73653,1.19952,0.82597,1.13334,3.03986e-06,3.03986e-06,3.03986e-06
5,1.6632,1.34114,2.33067,1.64627,0.92348,0.79831,0.93074,0.73241,1.19732,0.8323,1.13563,3.81752e-06,3.81752e-06,3.81752e-06
6,2.03939,0.90478,1.7731,1.30242,0.9135,0.80081,0.92884,0.74536,1.19735,0.83308,1.13672,4.47737e-06,4.47737e-06,4.47737e-06
7,2.52154,1.39926,2.91232,1.5982,0.90804,0.80307,0.92885,0.74397,1.20082,0.83039,1.13807,5.01942e-06,5.01942e-06,5.01942e-06
8,2.89417,1.43557,4.26512,1.81857,0.87036,0.85883,0.95629,0.73734,1.21134,0.8346,1.14472,5.44365e-06,5.44365e-06,5.44365e-06
9,3.26547,1.2014,2.43913,1.36677,0.87056,0.85356,0.95511,0.7367,1.2117,0.83514,1.14593,5.75008e-06,5.75008e-06,5.75008e-06
10,3.63405,1.20887,2.10478,1.55597,0.88056,0.80983,0.91342,0.73087,1.21367,0.85051,1.14637,5.9387e-06,5.9387e-06,5.9387e-06
11,5.6053,0.76152,1.10226,1.11414,0.88944,0.83915,0.95863,0.73916,1.21075,0.85899,1.14877,6.0095e-06,6.0095e-06,6.0095e-06
12,6.00523,0.70001,0.80044,1.09458,0.8352,0.86647,0.95863,0.73917,1.21708,0.87758,1.15257,5.9625e-06,5.9625e-06,5.9625e-06
13,6.39574,0.95991,1.73477,1.17608,0.83004,0.84843,0.95926,0.66672,1.23924,0.90632,1.16128,5.79768e-06,5.79768e-06,5.79768e-06
14,6.78464,0.71822,0.9701,1.10672,0.87015,0.83136,0.95836,0.65574,1.24803,0.92329,1.16558,5.51505e-06,5.51505e-06,5.51505e-06
15,7.16952,0.67389,0.81059,1.05245,0.84735,0.85225,0.958,0.65418,1.25282,0.94866,1.16577,5.11462e-06,5.11462e-06,5.11462e-06
16,7.56848,0.65948,1.34948,1.12852,0.82598,0.87159,0.96155,0.66382,1.26453,0.96601,1.16854,4.59638e-06,4.59638e-06,4.59638e-06
17,7.97834,0.82778,1.18638,1.22015,0.77246,0.83134,0.93387,0.64955,1.26979,0.98862,1.17414,3.96032e-06,3.96032e-06,3.96032e-06
18,8.36172,0.97131,1.73902,1.13535,0.77246,0.83134,0.93387,0.64955,1.26979,0.98862,1.17414,3.20646e-06,3.20646e-06,3.20646e-06
19,8.77566,0.61169,0.62245,0.98582,0.74337,0.91667,0.933,0.63418,1.2819,1.01486,1.19063,2.33478e-06,2.33478e-06,2.33478e-06
20,9.25065,0.83654,1.13249,1.17479,0.74337,0.91667,0.933,0.63418,1.2819,1.01486,1.19063,1.3453e-06,1.3453e-06,1.3453e-06
